postcode,electricity_all_meters,electricity_all_consumption_kwh,electricity_standard_meters,electricity_standard_consumption_kwh,electricity_economy7_meters,electricity_economy7_consumption_kwh,gas_meters,gas_consumption_kwh
"M1 5DA",,,,,,,,
"M1 5DB",44,246003,,,,,,
"M1 5DD",49,326654,,,,,,
"M1 5DE",66,354624,,,,,,
"M1 5ES",,,,,,,,
"M1 5WG",,,,,,,,
"M1 5WQ",,,,,,,,
"M1 5WW",50,262357,,,,,,
"M1 5WZ",,,,,,,,
"M1 6FU",,,,,,,,
"M14 4AT",25,61038,25,61038,,,21,196353
"M14 4AU",11,35969,11,35969,,,11,105015
"M14 4AX",18,56808,18,56808,,,17,187708
"M14 4BD",8,11528,8,11528,,,9,68683
"M14 4BE",39,81594,39,81594,,,38,297709
"M14 4BH",5,16617,5,16617,,,6,81884
"M14 4BJ",34,70772,,,,,36,277230
"M14 4BL",18,47107,18,47107,,,19,200164
"M14 4BN",40,95697,,,,,39,370124
"M14 4BP",6,15678,6,15678,,,7,44298
"M14 4BW",12,36596,12,36596,,,11,113360
"M14 4EG",30,33074,30,33074,,,,
"M14 4EP",,,,,,,,
"M14 4EU",,,,,,,,
"M14 4FZ",43,85052,,,,,43,392340
"M14 4GG",64,156202,64,156202,,,64,476632
"M14 4GH",5,12719,5,12719,,,5,59299
"M14 4GJ",,,,,,,,
"M14 4GL",16,37356,,,,,11,78888
"M14 4GN",52,146652,,,,,48,402864
"M14 4GP",,,,,,,,
"M14 4GQ",44,107347,44,107347,,,42,311346
"M14 4GW",31,91480,31,91480,,,30,275454
"M14 4HE",12,22725,12,22725,,,10,115724
"M14 4HF",10,26493,10,26493,,,11,98314
"M14 4HZ",19,61465,,,,,15,187798
"M14 4JE",26,50344,26,50344,,,24,153669
"M14 4JF",13,39079,13,39079,,,15,155778
"M14 4JL",22,70578,22,70578,,,21,243391
"M14 4JR",16,54776,,,,,17,185444
"M14 4JT",6,17096,6,17096,,,6,85776
"M14 4JU",18,38212,18,38212,,,17,165280
"M14 4LH",31,103583,31,103583,,,31,331423
"M14 4LJ",11,13596,11,13596,,,7,28161
"M14 4LL",19,38249,19,38249,,,19,285155
"M14 4LT",21,66342,,,,,21,231451
"M14 4LZ",56,87548,56,87548,,,14,199160
"M14 4ND",34,86945,34,86945,,,32,311991
"M14 4NE",44,98370,44,98370,,,43,428934
"M14 4NF",42,88632,,,,,41,368219
"M14 4NL",,,,,,,,
"M14 4PX",34,104950,34,104950,,,22,286585
"M14 4RA",18,91006,,,,,21,391393
"M14 4RD",,,,,,,,
"M14 4RG",,,,,,,,
"M14 4RQ",28,72983,28,72983,,,27,283108
"M14 4RR",,,,,,,,
"M14 4RS",15,37692,15,37692,,,16,146612
"M14 4RT",9,64386,,,,,11,111203
"M14 4RU",42,103596,,,,,40,367060
"M14 4RX",21,57290,21,57290,,,21,136436
"M14 4RY",14,42465,14,42465,,,15,140614
"M14 4RZ",26,68178,26,68178,,,23,313700
"M14 4SL",,,,,,,,
"M14 4SN",19,57353,19,57353,,,21,260142
"M14 4SP",10,34553,10,34553,,,11,162761
"M14 4SS",,,,,,,,
"M14 4ST",,,,,,,,
"M14 4SY",5,30336,5,30336,,,5,77326
"M14 4TB",23,130214,23,130214,,,,
"M14 4TD",24,129626,24,129626,,,,
"M14 4TE",,,,,,,,
"M14 4TF",25,108803,25,108803,,,,
"M14 4TG",23,98984,23,98984,,,,
"M14 4TS",23,66434,23,66434,,,21,242948
"M14 4TT",16,54955,,,,,15,199756
"M14 4TU",8,12910,8,12910,,,7,80704
"M14 4TX",13,38802,13,38802,,,13,120969
"M14 4TY",8,26893,8,26893,,,10,66578
"M14 4TZ",26,64410,,,,,25,289659
"M14 4UA",41,103505,37,94289,,,40,433757
"M14 4UB",35,108700,35,108700,,,38,410737
"M14 4UD",36,93093,,,,,36,430213
"M14 4UE",21,49338,21,49338,,,21,197939
"M14 4UF",21,45345,21,45345,,,20,205272
"M14 4UH",21,61822,21,61822,,,25,269001
"M14 4UL",12,35676,12,35676,,,12,159133
"M14 4UN",18,44066,,,,,18,167247
"M14 4UP",25,77329,25,77329,,,24,334148
"M14 4UT",12,33823,12,33823,,,12,144051
"M14 4UU",22,58439,,,,,22,176780
"M14 4UW",21,55960,21,55960,,,19,192373
"M14 4UX",16,49239,16,49239,,,16,113348
"M14 4UY",17,64561,17,64561,,,15,233499
"M14 4UZ",26,87127,26,87127,,,24,275236
"M14 4WB",24,69949,24,69949,,,25,287031
"M14 4WD",24,77428,24,77428,,,24,253818
"M14 4WF",19,55840,19,55840,,,18,251821
"M14 4WH",42,114663,42,114663,,,35,431397
"M14 5NL",19,84019,,,,,20,212894
"M14 5WL",8,25303,8,25303,,,9,135013
"M14 5XF",,,,,,,,
"M14 5XG",,,,,,,,
"M14 5XH",7,10382,7,10382,,,5,28107
"M14 7AG",30,77822,30,77822,,,29,226836
